Player,Team,Conference,Date,Position,Height,Weight,Age,Draft Year,Seasons in league,Season,Season short,Pre-draft Team,Real_value,Height CM,Weight KG,Last Season
Trae Young,Atlanta Hawks,East,"Oct 28, 2019",PG,6'2,180,21,2018,1,2019-2020,2020,Oklahoma,0.5,188,81,1
Karl-Anthony Towns,Minnesota Timberwolves,West,"Oct 28, 2019",C,7'0,248,24,2015,4,2019-2020,2020,Kentucky,0.5,213,112,1
Kemba Walker,Charlotte Hornets,East,"Apr 8, 2019",G,6'1,184,28,2011,7,2018-2019,2019,Connecticut,0.5,185,83,0
Russell Westbrook,Oklahoma City Thunder,West,"Apr 8, 2019",G,6'3,200,30,2008,10,2018-2019,2019,UCLA,0.5,190,90,0
Andre Drummond,Detroit Pistons,East,"Apr 1, 2019",C,6'11,279,25,2012,6,2018-2019,2019,Connecticut,0.5,211,126,0
Damian Lillard,Portland Trail Blazers,West,"Apr 1, 2019",G,6'3,195,28,2012,6,2018-2019,2019,Weber State,0.5,190,88,0
Trae Young,Atlanta Hawks,East,"Mar 25, 2019",PG,6'2,180,20,2018,0,2018-2019,2019,Oklahoma,0.5,188,81,0
James Harden,Houston Rockets,West,"Mar 25, 2019",SG,6'5,220,29,2009,9,2018-2019,2019,Arizona State,0.5,196,99,0
Bradley Beal,Washington Wizards,East,"Mar 18, 2019",SG,6'3,207,25,2012,6,2018-2019,2019,Florida,0.5,190,93,0
Rudy Gobert,Utah Jazz,West,"Mar 18, 2019",C,7'1,245,26,2013,5,2018-2019,2019,Cholet Basket (France),0.5,216,111,0
Andre Drummond,Detroit Pistons,East,"Mar 11, 2019",C,6'11,279,25,2012,6,2018-2019,2019,Connecticut,0.5,211,126,0
Mike Conley,Memphis Grizzlies,West,"Mar 11, 2019",PG,6'1,175,31,2007,11,2018-2019,2019,Ohio State,0.5,185,79,0
Ben Simmons,Philadelphia Sixers,East,"Mar 4, 2019",PF,6'10,230,22,2016,2,2018-2019,2019,LSU,0.5,208,104,0
Donovan Mitchell,Utah Jazz,West,"Mar 4, 2019",SG,6'3,215,22,2017,1,2018-2019,2019,Louisville,0.5,190,97,0
Bojan Bogdanovic,Indiana Pacers,East,"Feb 11, 2019",F,6'8,216,29,2011,4,2018-2019,2019,KK Cibona (Croatia),0.5,203,98,0
Paul George,Oklahoma City Thunder,West,"Feb 11, 2019",GF,6'9,220,28,2010,8,2018-2019,2019,Fresno State,0.5,206,99,0
Giannis Antetokounmpo,Milwaukee Bucks,East,"Feb 4, 2019",F,6'11,242,24,2013,5,2018-2019,2019,Filathlitikos Div II Greece (Greece),0.5,211,109,0
Nikola Jokic,Denver Nuggets,West,"Feb 4, 2019",C,7'0,250,24,2014,3,2018-2019,2019,KK Mega Bemax (Serbia),0.5,213,113,0
Giannis Antetokounmpo,Milwaukee Bucks,East,"Jan 28, 2019",F,6'11,242,24,2013,5,2018-2019,2019,Filathlitikos Div II Greece (Greece),0.5,211,109,0
Paul George,Oklahoma City Thunder,West,"Jan 28, 2019",GF,6'9,220,28,2010,8,2018-2019,2019,Fresno State,0.5,206,99,0
D'Angelo Russell,Brooklyn Nets,East,"Jan 21, 2019",SG,6'5,198,23,2015,3,2018-2019,2019,Ohio State,0.5,196,89,0
James Harden,Houston Rockets,West,"Jan 21, 2019",SG,6'5,220,29,2009,9,2018-2019,2019,Arizona State,0.5,196,99,0
Kawhi Leonard,Toronto Raptors,East,"Jan 14, 2019",F,6'7,230,27,2011,7,2018-2019,2019,San Diego State,0.5,201,104,0
Donovan Mitchell,Utah Jazz,West,"Jan 14, 2019",SG,6'3,215,22,2017,1,2018-2019,2019,Louisville,0.5,190,97,0
Joel Embiid,Philadelphia Sixers,East,"Jan 7, 2019",C,7'0,250,24,2014,4,2018-2019,2019,Kansas,0.5,213,113,0
Nikola Jokic,Denver Nuggets,West,"Jan 7, 2019",C,7'0,250,24,2014,3,2018-2019,2019,KK Mega Bemax (Serbia),0.5,213,113,0
Giannis Antetokounmpo,Milwaukee Bucks,East,"Dec 31, 2018",F,6'11,242,24,2013,5,2018-2019,2019,Filathlitikos Div II Greece (Greece),0.5,211,109,0
James Harden,Houston Rockets,West,"Dec 31, 2018",SG,6'5,220,29,2009,9,2018-2019,2019,Arizona State,0.5,196,99,0
Giannis Antetokounmpo,Milwaukee Bucks,East,"Dec 24, 2018",F,6'11,242,24,2013,5,2018-2019,2019,Filathlitikos Div II Greece (Greece),0.5,211,109,0
Paul George,Oklahoma City Thunder,West,"Dec 24, 2018",GF,6'9,220,28,2010,8,2018-2019,2019,Fresno State,0.5,206,99,0
Thaddeus Young,Indiana Pacers,East,"Dec 17, 2018",F,6'8,221,30,2007,11,2018-2019,2019,Georgia Tech,0.5,203,100,0
James Harden,Houston Rockets,West,"Dec 17, 2018",SG,6'5,220,29,2009,9,2018-2019,2019,Arizona State,0.5,196,99,0
Bradley Beal,Washington Wizards,East,"Dec 10, 2018",SG,6'3,207,25,2012,6,2018-2019,2019,Florida,0.5,190,93,0
Stephen Curry,Golden State Warriors,West,"Dec 10, 2018",G,6'3,190,30,2009,9,2018-2019,2019,Davidson,0.5,190,86,0
Kawhi Leonard,Toronto Raptors,East,"Dec 3, 2018",F,6'7,230,27,2011,7,2018-2019,2019,San Diego State,0.5,201,104,0
Paul Millsap,Denver Nuggets,West,"Dec 3, 2018",FC,6'8,246,34,2006,12,2018-2019,2019,Louisiana Tech,0.5,203,111,0
Giannis Antetokounmpo,Milwaukee Bucks,East,"Nov 26, 2018",F,6'11,242,24,2013,5,2018-2019,2019,Filathlitikos Div II Greece (Greece),0.5,211,109,0
Tobias Harris,Los Angeles Clippers,West,"Nov 26, 2018",F,6'9,235,26,2011,7,2018-2019,2019,Tennessee,0.5,206,106,0
Nikola Vucevic,Orlando Magic,East,"Nov 19, 2018",PF,7'0,260,28,2011,7,2018-2019,2019,USC,0.5,213,118,0
Anthony Davis,New Orleans Pelicans,West,"Nov 19, 2018",PF,6'10,253,25,2012,6,2018-2019,2019,Kentucky,0.5,208,114,0
Pascal Siakam,Toronto Raptors,East,"Nov 12, 2018",F,6'9,230,24,2016,2,2018-2019,2019,New Mexico State,0.5,206,104,0
C.J. McCollum,Portland Trail Blazers,West,"Nov 12, 2018",G,6'3,190,27,2013,5,2018-2019,2019,Lehigh,0.5,190,86,0
Victor Oladipo,Indiana Pacers,East,"Nov 5, 2018",G,6'4,210,26,2013,5,2018-2019,2019,Indiana,0.5,193,95,0
Russell Westbrook,Oklahoma City Thunder,West,"Nov 5, 2018",G,6'3,200,30,2008,10,2018-2019,2019,UCLA,0.5,190,90,0
Giannis Antetokounmpo,Milwaukee Bucks,East,"Oct 29, 2018",F,6'11,242,24,2013,5,2018-2019,2019,Filathlitikos Div II Greece (Greece),0.5,211,109,0
Stephen Curry,Golden State Warriors,West,"Oct 29, 2018",G,6'3,190,30,2009,9,2018-2019,2019,Davidson,0.5,190,86,0
Kemba Walker,Charlotte Hornets,East,"Oct 22, 2018",G,6'1,184,28,2011,7,2018-2019,2019,Connecticut,0.5,185,83,0
Nikola Jokic,Denver Nuggets,West,"Oct 22, 2018",C,7'0,250,24,2014,3,2018-2019,2019,KK Mega Bemax (Serbia),0.5,213,113,0
Ben Simmons,Philadelphia Sixers,East,"Apr 9, 2018",PF,6'10,230,21,2016,1,2017-2018,2018,LSU,0.5,208,104,0
Nikola Jokic,Denver Nuggets,West,"Apr 9, 2018",C,7'0,250,23,2014,2,2017-2018,2018,KK Mega Bemax (Serbia),0.5,213,113,0
Victor Oladipo,Indiana Pacers,East,"Apr 2, 2018",G,6'4,210,25,2013,4,2017-2018,2018,Indiana,0.5,193,95,0
Damian Lillard,Portland Trail Blazers,West,"Apr 2, 2018",G,6'3,195,27,2012,5,2017-2018,2018,Weber State,0.5,190,88,0
LeBron James,Cleveland Cavaliers,East,"Mar 26, 2018",F,6'8,250,33,2003,14,2017-2018,2018,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
LaMarcus Aldridge,San Antonio Spurs,West,"Mar 26, 2018",FC,6'11,265,32,2006,11,2017-2018,2018,Texas,0.5,211,120,0
LeBron James,Cleveland Cavaliers,East,"Mar 19, 2018",F,6'8,250,33,2003,14,2017-2018,2018,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Russell Westbrook,Oklahoma City Thunder,West,"Mar 19, 2018",G,6'3,200,29,2008,9,2017-2018,2018,UCLA,0.5,190,90,0
DeMar DeRozan,Toronto Raptors,East,"Mar 12, 2018",GF,6'7,220,28,2009,8,2017-2018,2018,USC,0.5,201,99,0
Damian Lillard,Portland Trail Blazers,West,"Mar 12, 2018",G,6'3,195,27,2012,5,2017-2018,2018,Weber State,0.5,190,88,0
DeMar DeRozan,Toronto Raptors,East,"Mar 5, 2018",GF,6'7,220,28,2009,8,2017-2018,2018,USC,0.5,201,99,0
Anthony Davis,New Orleans Pelicans,West,"Mar 5, 2018",PF,6'10,253,24,2012,5,2017-2018,2018,Kentucky,0.5,208,114,0
Joel Embiid,Philadelphia Sixers,East,"Feb 12, 2018",C,7'0,250,23,2014,3,2017-2018,2018,Kansas,0.5,213,113,0
James Harden,Houston Rockets,West,"Feb 12, 2018",SG,6'5,220,28,2009,8,2017-2018,2018,Arizona State,0.5,196,99,0
Andre Drummond,Detroit Pistons,East,"Feb 5, 2018",C,6'11,279,24,2012,5,2017-2018,2018,Connecticut,0.5,211,126,0
James Harden,Houston Rockets,West,"Feb 5, 2018",SG,6'5,220,28,2009,8,2017-2018,2018,Arizona State,0.5,196,99,0
Khris Middleton,Milwaukee Bucks,East,"Jan 29, 2018",SF,6'8,222,26,2012,5,2017-2018,2018,Texas A&M,0.5,203,100,0
Stephen Curry,Golden State Warriors,West,"Jan 29, 2018",G,6'3,190,29,2009,8,2017-2018,2018,Davidson,0.5,190,86,0
Joel Embiid,Philadelphia Sixers,East,"Jan 22, 2018",C,7'0,250,23,2014,3,2017-2018,2018,Kansas,0.5,213,113,0
Damian Lillard,Portland Trail Blazers,West,"Jan 22, 2018",G,6'3,195,27,2012,5,2017-2018,2018,Weber State,0.5,190,88,0
Goran Dragic,Miami Heat,East,"Jan 15, 2018",G,6'3,190,31,2008,9,2017-2018,2018,Union Olimpija (Slovenia),0.5,190,86,0
Lou Williams,Los Angeles Clippers,West,"Jan 15, 2018",G,6'1,175,31,2005,12,2017-2018,2018,South Gwinnett High School (Georgia),0.5,185,79,0
DeMar DeRozan,Toronto Raptors,East,"Jan 8, 2018",GF,6'7,220,28,2009,8,2017-2018,2018,USC,0.5,201,99,0
Stephen Curry,Golden State Warriors,West,"Jan 8, 2018",G,6'3,190,29,2009,8,2017-2018,2018,Davidson,0.5,190,86,0
Bradley Beal,Washington Wizards,East,"Jan 2, 2018",SG,6'3,207,24,2012,5,2017-2018,2018,Florida,0.5,190,93,0
Lou Williams,Los Angeles Clippers,West,"Jan 2, 2018",G,6'1,175,31,2005,12,2017-2018,2018,South Gwinnett High School (Georgia),0.5,185,79,0
DeMar DeRozan,Toronto Raptors,East,"Dec 26, 2017",GF,6'7,220,28,2009,8,2017-2018,2018,USC,0.5,201,99,0
Russell Westbrook,Oklahoma City Thunder,West,"Dec 26, 2017",G,6'3,200,29,2008,9,2017-2018,2018,UCLA,0.5,190,90,0
LeBron James,Cleveland Cavaliers,East,"Dec 18, 2017",F,6'8,250,33,2003,14,2017-2018,2018,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Chris Paul,Houston Rockets,West,"Dec 18, 2017",PG,6'0,175,32,2005,12,2017-2018,2018,Wake Forest,0.5,183,79,0
Victor Oladipo,Indiana Pacers,East,"Dec 11, 2017",G,6'4,210,25,2013,4,2017-2018,2018,Indiana,0.5,193,95,0
Kevin Durant,Golden State Warriors,West,"Dec 11, 2017",SF,6'9,240,29,2007,10,2017-2018,2018,Texas,0.5,206,108,0
LeBron James,Cleveland Cavaliers,East,"Dec 4, 2017",F,6'8,250,33,2003,14,2017-2018,2018,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
James Harden,Houston Rockets,West,"Dec 4, 2017",SG,6'5,220,28,2009,8,2017-2018,2018,Arizona State,0.5,196,99,0
Goran Dragic,Miami Heat,East,"Nov 27, 2017",G,6'3,190,31,2008,9,2017-2018,2018,Union Olimpija (Slovenia),0.5,190,86,0
Anthony Davis,New Orleans Pelicans,West,"Nov 27, 2017",PF,6'10,253,24,2012,5,2017-2018,2018,Kentucky,0.5,208,114,0
DeMar DeRozan,Toronto Raptors,East,"Nov 20, 2017",GF,6'7,220,28,2009,8,2017-2018,2018,USC,0.5,201,99,0
Karl-Anthony Towns,Minnesota Timberwolves,West,"Nov 20, 2017",C,7'0,248,22,2015,2,2017-2018,2018,Kentucky,0.5,213,112,0
Tobias Harris,Detroit Pistons,East,"Nov 13, 2017",F,6'9,235,25,2011,6,2017-2018,2018,Tennessee,0.5,206,106,0
Nikola Jokic,Denver Nuggets,West,"Nov 13, 2017",C,7'0,250,23,2014,2,2017-2018,2018,KK Mega Bemax (Serbia),0.5,213,113,0
Kristaps Porzingis,New York Knicks,East,"Nov 6, 2017",FC,7'3,240,22,2015,2,2017-2018,2018,Real Betis Energia Plus (Spain),0.5,221,108,0
James Harden,Houston Rockets,West,"Nov 6, 2017",SG,6'5,220,28,2009,8,2017-2018,2018,Arizona State,0.5,196,99,0
Victor Oladipo,Indiana Pacers,East,"Oct 30, 2017",G,6'4,210,25,2013,4,2017-2018,2018,Indiana,0.5,193,95,0
DeMarcus Cousins,New Orleans Pelicans,West,"Oct 30, 2017",C,6'11,270,27,2010,7,2017-2018,2018,Kentucky,0.5,211,122,0
Giannis Antetokounmpo,Milwaukee Bucks,East,"Oct 23, 2017",F,6'11,242,23,2013,4,2017-2018,2018,Filathlitikos Div II Greece (Greece),0.5,211,109,0
James Harden,Houston Rockets,West,"Oct 23, 2017",SG,6'5,220,28,2009,8,2017-2018,2018,Arizona State,0.5,196,99,0
Paul George,Indiana Pacers,East,"Apr 10, 2017",GF,6'9,220,26,2010,6,2016-2017,2017,Fresno State,0.5,206,99,0
Russell Westbrook,Oklahoma City Thunder,West,"Apr 10, 2017",G,6'3,200,28,2008,8,2016-2017,2017,UCLA,0.5,190,90,0
Jimmy Butler,Chicago Bulls,East,"Apr 3, 2017",GF,6'8,232,27,2011,5,2016-2017,2017,Marquette,0.5,203,105,0
Stephen Curry,Golden State Warriors,West,"Apr 3, 2017",G,6'3,190,28,2009,7,2016-2017,2017,Davidson,0.5,190,86,0
DeMar DeRozan,Toronto Raptors,East,"Mar 27, 2017",GF,6'7,220,27,2009,7,2016-2017,2017,USC,0.5,201,99,0
James Harden,Houston Rockets,West,"Mar 27, 2017",SG,6'5,220,27,2009,7,2016-2017,2017,Arizona State,0.5,196,99,0
Hassan Whiteside,Miami Heat,East,"Mar 20, 2017",C,7'1,265,27,2010,4,2016-2017,2017,Marshall,0.5,216,120,0
Damian Lillard,Portland Trail Blazers,West,"Mar 20, 2017",G,6'3,195,26,2012,4,2016-2017,2017,Weber State,0.5,190,88,0
John Wall,Washington Wizards,East,"Mar 13, 2017",PG,6'4,210,26,2010,6,2016-2017,2017,Kentucky,0.5,193,95,0
Karl-Anthony Towns,Minnesota Timberwolves,West,"Mar 13, 2017",C,7'0,248,21,2015,1,2016-2017,2017,Kentucky,0.5,213,112,0
Kemba Walker,Charlotte Hornets,East,"Mar 6, 2017",G,6'1,184,26,2011,5,2016-2017,2017,Connecticut,0.5,185,83,0
Kawhi Leonard,San Antonio Spurs,West,"Mar 6, 2017",F,6'7,230,25,2011,5,2016-2017,2017,San Diego State,0.5,201,104,0
LeBron James,Cleveland Cavaliers,East,"Feb 13, 2017",F,6'8,250,32,2003,13,2016-2017,2017,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Blake Griffin,Los Angeles Clippers,West,"Feb 13, 2017",PF,6'10,250,27,2009,7,2016-2017,2017,Oklahoma,0.5,208,113,0
Isaiah Thomas,Boston Celtics,East,"Feb 6, 2017",PG,5'9,185,28,2011,5,2016-2017,2017,Washington,0.5,175,83,0
Stephen Curry,Golden State Warriors,West,"Feb 6, 2017",G,6'3,190,28,2009,7,2016-2017,2017,Davidson,0.5,190,86,0
Dion Waiters,Miami Heat,East,"Jan 30, 2017",SG,6'4,215,25,2012,4,2016-2017,2017,Syracuse,0.5,193,97,0
DeMarcus Cousins,Sacramento Kings,West,"Jan 30, 2017",C,6'11,270,26,2010,6,2016-2017,2017,Kentucky,0.5,211,122,0
Joel Embiid,Philadelphia Sixers,East,"Jan 23, 2017",C,7'0,250,22,2014,2,2016-2017,2017,Kansas,0.5,213,113,0
Kawhi Leonard,San Antonio Spurs,West,"Jan 23, 2017",F,6'7,230,25,2011,5,2016-2017,2017,San Diego State,0.5,201,104,0
DeMar DeRozan,Toronto Raptors,East,"Jan 16, 2017",GF,6'7,220,27,2009,7,2016-2017,2017,USC,0.5,201,99,0
Gordon Hayward,Utah Jazz,West,"Jan 16, 2017",GF,6'8,225,26,2010,6,2016-2017,2017,Butler,0.5,203,102,0
Jimmy Butler,Chicago Bulls,East,"Jan 9, 2017",GF,6'8,232,27,2011,5,2016-2017,2017,Marquette,0.5,203,105,0
Stephen Curry,Golden State Warriors,West,"Jan 9, 2017",G,6'3,190,28,2009,7,2016-2017,2017,Davidson,0.5,190,86,0
John Wall,Washington Wizards,East,"Jan 2, 2017",PG,6'4,210,26,2010,6,2016-2017,2017,Kentucky,0.5,193,95,0
James Harden,Houston Rockets,West,"Jan 2, 2017",SG,6'5,220,27,2009,7,2016-2017,2017,Arizona State,0.5,196,99,0
Isaiah Thomas,Boston Celtics,East,"Dec 26, 2016",PG,5'9,185,28,2011,5,2016-2017,2017,Washington,0.5,175,83,0
Russell Westbrook,Oklahoma City Thunder,West,"Dec 26, 2016",G,6'3,200,28,2008,8,2016-2017,2017,UCLA,0.5,190,90,0
DeMar DeRozan,Toronto Raptors,East,"Dec 19, 2016",GF,6'7,220,27,2009,7,2016-2017,2017,USC,0.5,201,99,0
James Harden,Houston Rockets,West,"Dec 19, 2016",SG,6'5,220,27,2009,7,2016-2017,2017,Arizona State,0.5,196,99,0
LeBron James,Cleveland Cavaliers,East,"Dec 12, 2016",F,6'8,250,32,2003,13,2016-2017,2017,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Marc Gasol,Memphis Grizzlies,West,"Dec 12, 2016",C,7'1,255,32,2007,8,2016-2017,2017,Sant Josep Girona (Spain),0.5,216,115,0
Giannis Antetokounmpo,Milwaukee Bucks,East,"Dec 5, 2016",F,6'11,242,22,2013,3,2016-2017,2017,Filathlitikos Div II Greece (Greece),0.5,211,109,0
Russell Westbrook,Oklahoma City Thunder,West,"Dec 5, 2016",G,6'3,200,28,2008,8,2016-2017,2017,UCLA,0.5,190,90,0
Kevin Love,Cleveland Cavaliers,East,"Nov 28, 2016",FC,6'10,251,28,2008,8,2016-2017,2017,UCLA,0.5,208,113,0
Kevin Durant,Golden State Warriors,West,"Nov 28, 2016",SF,6'9,240,28,2007,9,2016-2017,2017,Texas,0.5,206,108,0
Jimmy Butler,Chicago Bulls,East,"Nov 21, 2016",GF,6'8,232,27,2011,5,2016-2017,2017,Marquette,0.5,203,105,0
Anthony Davis,New Orleans Pelicans,West,"Nov 21, 2016",PF,6'10,253,23,2012,4,2016-2017,2017,Kentucky,0.5,208,114,0
DeMar DeRozan,Toronto Raptors,East,"Nov 14, 2016",GF,6'7,220,27,2009,7,2016-2017,2017,USC,0.5,201,99,0
James Harden,Houston Rockets,West,"Nov 14, 2016",SG,6'5,220,27,2009,7,2016-2017,2017,Arizona State,0.5,196,99,0
LeBron James,Cleveland Cavaliers,East,"Nov 7, 2016",F,6'8,250,32,2003,13,2016-2017,2017,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
George Hill,Utah Jazz,West,"Nov 7, 2016",G,6'3,188,30,2008,8,2016-2017,2017,IUPUI,0.5,190,85,0
LeBron James,Cleveland Cavaliers,East,"Oct 31, 2016",F,6'8,250,32,2003,13,2016-2017,2017,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Russell Westbrook,Oklahoma City Thunder,West,"Oct 31, 2016",G,6'3,200,28,2008,8,2016-2017,2017,UCLA,0.5,190,90,0
Paul Millsap,Atlanta Hawks,East,"Apr 11, 2016",FC,6'8,246,31,2006,9,2015-2016,2016,Louisiana Tech,0.5,203,111,0
Karl-Anthony Towns,Minnesota Timberwolves,West,"Apr 11, 2016",C,7'0,248,20,2015,0,2015-2016,2016,Kentucky,0.5,213,112,0
LeBron James,Cleveland Cavaliers,East,"Apr 4, 2016",F,6'8,250,31,2003,12,2015-2016,2016,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
J.J. Barea,Dallas Mavericks,West,"Apr 4, 2016",G,6'0,185,31,2006,9,2015-2016,2016,Northeastern,0.5,183,83,0
LeBron James,Cleveland Cavaliers,East,"Mar 28, 2016",F,6'8,250,31,2003,12,2015-2016,2016,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Klay Thompson,Golden State Warriors,West,"Mar 28, 2016",G,6'7,215,26,2011,4,2015-2016,2016,Washington State,0.5,201,97,0
Kyle Lowry,Toronto Raptors,East,"Mar 21, 2016",PG,6'1,196,29,2006,9,2015-2016,2016,Villanova,0.5,185,88,0
Kevin Durant,Oklahoma City Thunder,West,"Mar 21, 2016",SF,6'9,240,27,2007,8,2015-2016,2016,Texas,0.5,206,108,0
Kemba Walker,Charlotte Hornets,East,"Mar 14, 2016",G,6'1,184,25,2011,4,2015-2016,2016,Connecticut,0.5,185,83,0
Stephen Curry,Golden State Warriors,West,"Mar 14, 2016",G,6'3,190,27,2009,6,2015-2016,2016,Davidson,0.5,190,86,0
LeBron James,Cleveland Cavaliers,East,"Mar 7, 2016",F,6'8,250,31,2003,12,2015-2016,2016,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Kawhi Leonard,San Antonio Spurs,West,"Mar 7, 2016",F,6'7,230,24,2011,4,2015-2016,2016,San Diego State,0.5,201,104,0
Kyle Lowry,Toronto Raptors,East,"Feb 29, 2016",PG,6'1,196,29,2006,9,2015-2016,2016,Villanova,0.5,185,88,0
Stephen Curry,Golden State Warriors,West,"Feb 29, 2016",G,6'3,190,27,2009,6,2015-2016,2016,Davidson,0.5,190,86,0
Isaiah Thomas,Boston Celtics,East,"Feb 8, 2016",PG,5'9,185,27,2011,4,2015-2016,2016,Washington,0.5,175,83,0
LaMarcus Aldridge,San Antonio Spurs,West,"Feb 8, 2016",FC,6'11,265,30,2006,9,2015-2016,2016,Texas,0.5,211,120,0
Dwyane Wade,Miami Heat,East,"Feb 1, 2016",SG,6'4,220,34,2003,12,2015-2016,2016,Marquette,0.5,193,99,0
Kevin Durant,Oklahoma City Thunder,West,"Feb 1, 2016",SF,6'9,240,27,2007,8,2015-2016,2016,Texas,0.5,206,108,0
Kemba Walker,Charlotte Hornets,East,"Jan 25, 2016",G,6'1,184,25,2011,4,2015-2016,2016,Connecticut,0.5,185,83,0
DeMarcus Cousins,Sacramento Kings,West,"Jan 25, 2016",C,6'11,270,25,2010,5,2015-2016,2016,Kentucky,0.5,211,122,0
